"(1, 123886.83), (2, 130960.0), (3, 131893.32), (4, 132467.11), (5, 132785.0), (6, 132924.52), (7, 133087.96), (8, 133149.58), (9, 133198.33), (10, 133289.28), (11, 133426.78), (12, 133568.18), (13, 133752.08), (14, 133847.0), (15, 133847.0), (16, 133847.2), (17, 133847.8), (18, 133850.3), (19, 133855.9), (20, 133857.0), (21, 133857.4), (22, 133861.14), (23, 133875.38), (24, 133898.9), (25, 133935.06), (26, 133944.0), (27, 133944.0), (28, 133944.0), (29, 133944.0), (30, 133944.0), (31, 133944.0)"
"(1, 132164), (2, 132164), (3, 132248), (4, 133344), (5, 133523), (6, 133523), (7, 133523), (8, 133523), (9, 133523), (10, 133523), (11, 133523), (12, 133523), (13, 133523), (14, 133523), (15, 133523), (16, 133523), (17, 133523), (18, 133523), (19, 133523), (20, 133523), (21, 133523), (22, 133523), (23, 133523), (24, 133523), (25, 133523), (26, 133523), (27, 133523), (28, 133523), (29, 133523), (30, 133523), (31, 133523)"
"(1, 124325.88), (2, 130782.35), (3, 131622.55), (4, 132173.36), (5, 132529.96), (6, 133204.32), (7, 133437.35), (8, 133523.0), (9, 133523.0), (10, 133523.0), (11, 133523.0), (12, 133523.0), (13, 133523.0), (14, 133523.0), (15, 133523.0), (16, 133523.0), (17, 133523.0), (18, 133523.0), (19, 133523.0), (20, 133523.0), (21, 133523.0), (22, 133523.0), (23, 133523.0), (24, 133523.0), (25, 133523.0), (26, 133523.0), (27, 133523.0), (28, 133523.0), (29, 133523.0), (30, 133523.0), (31, 133523.0)"
"(1, 132076), (2, 132437), (3, 132547), (4, 132725), (5, 132758), (6, 132758), (7, 132907), (8, 132907), (9, 133162), (10, 133210), (11, 133307), (12, 133307), (13, 133307), (14, 133446), (15, 133446), (16, 133446), (17, 133446), (18, 133446), (19, 133446), (20, 133446), (21, 133446), (22, 133446), (23, 133446), (24, 133446), (25, 133446), (26, 133446), (27, 133446), (28, 133446), (29, 133446), (30, 133446), (31, 133446)"
"(1, 122594.63), (2, 130937.04), (3, 131807.89), (4, 132195.5), (5, 132506.83), (6, 132650.64), (7, 132741.51), (8, 132775.04), (9, 132854.42), (10, 132981.6), (11, 133150.53), (12, 133214.78), (13, 133275.17), (14, 133309.3), (15, 133329.24), (16, 133384.84), (17, 133446.0), (18, 133446.0), (19, 133446.0), (20, 133446.0), (21, 133446.0), (22, 133446.0), (23, 133446.0), (24, 133446.0), (25, 133446.0), (26, 133446.0), (27, 133446.0), (28, 133446.0), (29, 133446.0), (30, 133446.0), (31, 133446.0)"
"(1, 132209), (2, 132450), (3, 132871), (4, 133054), (5, 133849), (6, 133849), (7, 134227), (8, 134227), (9, 134227), (10, 134227), (11, 134241), (12, 134241), (13, 134241), (14, 134241), (15, 134241), (16, 134241), (17, 134241), (18, 134241), (19, 134241), (20, 134241), (21, 134241), (22, 134241), (23, 134241), (24, 134241), (25, 134241), (26, 134241), (27, 134241), (28, 134241), (29, 134241), (30, 134241), (31, 134241)"
"(1, 123283.51), (2, 131211.98), (3, 132073.0), (4, 132567.31), (5, 132881.78), (6, 133189.18), (7, 133620.73), (8, 133872.98), (9, 133953.19), (10, 134119.21), (11, 134227.28), (12, 134229.1), (13, 134236.38), (14, 134241.0), (15, 134241.0), (16, 134241.0), (17, 134241.0), (18, 134241.0), (19, 134241.0), (20, 134241.0), (21, 134241.0), (22, 134241.0), (23, 134241.0), (24, 134241.0), (25, 134241.0), (26, 134241.0), (27, 134241.0), (28, 134241.0), (29, 134241.0), (30, 134241.0), (31, 134241.0)"
"(1, 132781), (2, 132781), (3, 132901), (4, 133039), (5, 133039), (6, 133039), (7, 133039), (8, 133039), (9, 133094), (10, 133094), (11, 133094), (12, 133233), (13, 133233), (14, 133233), (15, 133233), (16, 133233), (17, 133233), (18, 133233), (19, 133233), (20, 133233), (21, 133233), (22, 133233), (23, 133233), (24, 133233), (25, 133233), (26, 133233), (27, 133233), (28, 133233), (29, 133233), (30, 133233), (31, 133233)"
"(1, 122685.55), (2, 131130.75), (3, 132215.89), (4, 132757.45), (5, 132863.06), (6, 132975.28), (7, 133032.04), (8, 133039.0), (9, 133040.1), (10, 133042.85), (11, 133054.95), (12, 133085.23), (13, 133110.68), (14, 133159.33), (15, 133223.27), (16, 133232.76), (17, 133233.0), (18, 133233.0), (19, 133233.0), (20, 133233.0), (21, 133233.0), (22, 133233.0), (23, 133233.0), (24, 133233.0), (25, 133233.0), (26, 133233.0), (27, 133233.0), (28, 133233.0), (29, 133233.0), (30, 133233.0), (31, 133233.0)"
Worst,133233
Best,134241
Average,133638.0
Runtime,5.5757715
